ACC,PRE,REC,F1,Loss
0.7392197125256673,0.7098410087719298,0.6961646892202448,0.7013436828713067,0.6504082512110472
0.6960985626283368,0.6766085845840447,0.6398831792350311,0.6428658248362482,0.6765245217829943
0.7248459958932238,0.6849601500679324,0.6759815972778936,0.6794325224874095,0.6743446849286556
0.7063655030800822,0.6672641077035689,0.6574174282507615,0.6611550796176303,0.6618056930601597
0.5995893223819302,0.591795703401778,0.5008840610692462,0.4947529760679135,0.8174674026668072
0.5954825462012321,0.6063626260220688,0.4826516932998414,0.4821159454182744,0.8287058100104332
0.6078028747433265,0.7400322190898107,0.509873870984982,0.44894339552585166,0.8384303413331509
0.6509240246406571,0.631562809099901,0.5705278089537349,0.5654745818050958,0.802279993891716
0.813141683778234,0.787480067248234,0.7980432633210411,0.7894421022276522,0.907083947211504
0.8213552361396304,0.8028856192835345,0.796011258974222,0.798863907896166,0.873060155659914
0.8069815195071869,0.7800671837160721,0.791872650668947,0.78249108715564,0.8979791402816772
0.8090349075975359,0.7853489156346298,0.7852744820337413,0.7850077097712843,0.9331902991980314
0.8193018480492813,0.7935207780725021,0.8045178415548785,0.7980645755529675,0.6573606822639704
0.813141683778234,0.7879996794376982,0.7941841252026437,0.7896135566875623,0.7091528475284576
0.8275154004106776,0.8029950677069321,0.8125111342703936,0.8065860951173155,0.6487749814987183
0.8254620123203286,0.7993631945866152,0.8070286195286195,0.8027285446426644,0.6339037492871284
0.8295687885010267,0.8079342616036463,0.8157912903283274,0.8113167349732547,0.5010049641132355
0.813141683778234,0.7869969378827647,0.7912268629861222,0.7887126256691473,0.5322213843464851
0.7987679671457906,0.7718930166023669,0.7813207026169989,0.7730761823771809,0.5405837781727314
0.8213552361396304,0.8004468014508176,0.7946584451214082,0.7974090185037866,0.5172886773943901
