Metrics,Loss
ACC:0.8233 F1:0.7873 REC:0.7875 PRE:0.7897,0.23673469738827813
ACC:0.7279 F1:0.6687 REC:0.6587 PRE:0.6869,0.2995305417312516
ACC:0.6051 F1:0.4537 REC:0.4603 PRE:0.5651,0.3684760381778081
ACC:0.9956 F1:0.9937 REC:0.9938 PRE:0.9936,0.4022502212060822
ACC:0.9841 F1:0.9796 REC:0.9795 PRE:0.9799,0.30215294079648125
ACC:0.8922 F1:0.8676 REC:0.8704 PRE:0.8652,0.22337090969085693
ACC:1.0000 F1:1.0000 REC:1.0000 PRE:1.0000,0.4930923179619842
ACC:0.9982 F1:0.9978 REC:0.9983 PRE:0.9973,0.48156941930452984
ACC:0.9682 F1:0.9630 REC:0.9664 PRE:0.9598,0.28290374274365604
